time,AdrActCnt,AssetEODCompletionTime,BlkCnt,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContPctDay,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
2019-04-18,18,1614335584,165864,4393534538.30302,0.000625,0.0137297954321969375,0.000625,0.0137297954321969375,0.00625,0.137297954321969375,0,0,0,0,0,0,1879610.92053945,,0.004161724534409328,21.9676726915151,,,200000000,10,0.000115740740740741,10,106.405,2337.4702127406642155,10.639875,233.7332914786342246125,1,21.9676726915151,0.00000053199375,,
2019-04-19,29,1614335584,218479,4865168460.76078,0.000625,0.0152036514398774375,0.000625,0.0152036514398774375,0.0175,0.42570224031656825,0,0,0,0,0,0,20133748.49122722,,0.004598500306755016,24.3258423038039,,,200000000,28,0.000324074074074074,28,9.93357,241.642457333797306923,0.354145357142857,8.6148841104814514774868137423,0.1,2.43258423038039,0.0000005815741,,
2019-04-20,9,1614335584,219207,4986854146.27792,0.000625,0.0155839192071185,0.000625,0.0155839192071185,0.004375,0.1090874344498295,0,0,0,0,0,0,95234.25979166,,0.004692208541788438,24.9342707313896,,,200000000,7,0.0000810185185185185,7,2100.084575,52364.07735186526727542,300.011457142857,7480.5668949186846445213240872,0.01,0.249342707313896,0.0000110819751,,
2019-04-21,12,1614335584,219685,4839555146.92434,0.000625,0.0151236098341385625,0.000625,0.0151236098341385625,0.0075,0.18148331800966275,0,0,0,0,0,0,3072197092.50339363,,0.004569296063541112,24.1977757346217,,,200000000,12,0.000138888888888889,12,0.06509999,1.575274958346115323783,0.00479999916666667,0.116149303361371128474502448739,0.00375,0.090741659004831375,0.00001108226309995,,
2019-04-22,36,1614335584,219413,4776442486.72908,0.000625,0.014926382771028375,0.000625,0.014926382771028375,0.036875,0.880656583490674125,0,0,0,0,0,0,399.99278402,,0.004435939771732448,23.8822124336454,,,200000000,59,0.00068287037037037,59,500009.02013182,11941321.637527004724511136628,8474.7451929122,202395.66501814432686488813388,0.0091,0.21732813314617314,0.00251113209500905,,
2019-04-23,289,1614335584,221448,4559480128.34512,3.11139226100154,70.931655927616573522569857424,0.000625,0.0142483754010785,2050.4075,46743.961256298983182,0,0,0,0,0,0,538.82038492,,0.004111445463373823,22.7974006417256,,,200000000,692,0.00800925925925926,635,371181.20545516,8461966.651439946363435824096,581.315656249386,13252.4859148248906924309804816,1,22.7974006417256,0.00435680930360085,,
2019-04-24,390,1614335584,219518,4612294509.7463,0.000624999999999989,0.0144134203429569338238019639535,0.000625,0.0144134203429571875,0.658125,15.1773316211339184375,0,0,0,0,0,0,1016.9629082,,0.0042455253419053235,23.0614725487315,,,200000000,1053,0.0121875,1034,196664.00651149,4535361.587488279602339674935,198.508810961896,4577.905494679095273249634924,8.914062,205.571396110690612353,0.00538309985627385,,
2019-04-25,487,1614335584,221595,4384902823.78848,0.461836107814429,10.1255322664148530826129398896,0.0001,0.00219245141189424,4411.92033795,96729.20974103389990458408,0,0,0,0,0,0,40.02877756,,0.004275723784110205,21.9245141189424,,,200000000,17740,0.205324074074074,1601,4996405.39121284,109543760.543605836163554100416,3127.04064865043,68558.846851843153289058905232,14.99,328.648466642946576,0.0304150602487205,,
2019-04-26,460,1614335585,219697,4476001556.75554,0.00185800359823399,0.041582134990763670653490744023,0.0001,0.00223800077837777,11.78345882,263.713900111423991984314,0,0,0,0,0,0,179.57357833,,0.004345493641145521,22.3800077837777,,,200000000,10883,0.125960648148148,1982,1113749.59422517,24925724.587938559513927024709,674.572410778431,15096.9358039429738323908587887,32.819982195,734.5114569875455238380515,0.0371000728395348,,
2019-04-27,715,1614335585,219569,4382876227.44826,0.000416041635044654,0.0091172949593295946168278730102,0.000625,0.0136964882107758125,1.49109322,32.676385134236391933986,0,0,0,0,0,0,762.3706573,,0.004229099599367966,21.9143811372413,,,200000000,5034,0.0582638888888889,2124,262339.58257053,5749009.599835379145366878889,144.161354093974,3159.2068588761476857113139262,11.25614917,246.671543049022315084721,0.0386310664200128,,
2019-04-28,550,1614335585,219380,4211419865.7822343401176,0.00106717070504089,0.023862006118890088845984014732,0.000625,0.01397504050088675,3.13321319,70.058849965060114873972,0,0,0,0,0,0,789.47299637,,0.004342882039742849,22.3600648014188,,,188345602,4464,0.0516666666666667,1480,238571.30372604,5334469.811073220813118505552,171.187734397777,3827.7688343423638535131660076,11.69572,261.517057099249887536,0.0423666443292436,,
2019-04-29,491,1614335585,218889,4023384418.0488898305588,0.63302114798162,13.522415156180128671452166228,0.0001,0.00213617115309594,2000.97984877,42744.354308687505385009938,0,0,0,0,0,0,859.04290066,,0.004148871481589718,21.3617115309594,,,188345602,5246,0.0607175925925926,1210,219250.51921666,4683566.344519361438226263604,184.286333469207,3936.6714946673883801870671958,9.778774045,208.891350275722994668773,0.0435505661258234,,
